City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Kentau,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
519,Tumpat,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
520,Hamilton,US,90.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
534,Mahibadhoo,MV,84.33,overcast clouds,-0.6,73.0833,Scoop Guest House
539,Wuwei,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
541,Kuching,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
542,Mitsamiouli,KM,79.63,clear sky,-11.3847,43.2844,Foyer ADM
546,Kaduna,NG,78.78,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
548,Saryshagan,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
550,Xifeng,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
557,Malkangiri,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
564,Coron,PH,79.84,overcast clouds,9.2463,118.4082,Mom's Place Resort
566,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
570,Manadhoo,MV,84.33,overcast clouds,-0.6,73.0833,Scoop Guest House
579,Yuancheng,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
580,Atar,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
584,Ibra,OM,80.47,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
586,Zhanaozen,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
587,Amahai,ID,85.75,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
589,Grand Gaube,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
595,Tabiauea,KI,83.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
598,Adre,TD,78.35,broken clouds,13.4667,22.2,
599,Isangel,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
606,San Pedro,PH,91.35,light rain,14.35,121.0167,Esquivel's Garden And Resort
608,Linguere,SN,76.59,clear sky,15.3953,-15.1193,AYO Casablanca
609,Yining,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
610,Huaiyin,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
